area,house_area,house_type,orientation,price,rent_style,title,url
江干,130㎡,3室2厅,朝南,3800,整租,红苹果精装大三房家具家电齐全可随时看房,
江干,20㎡,4室2厅,朝南,1500,整租,泊林印象 九洲芳园 单间精装修 家具全配 朝南,
江干,89㎡,2室2厅,朝南,3600,整租,九堡客运 口边上 金雅苑 蓝桥名苑可以合住.随时看房,
江干,89㎡,2室2厅,朝南北,3800,整租,泊林公寓 金堡街好房 一梯一户 2房一卫 要的联系非诚勿扰,
滨江,81㎡,2室1厅,朝南,3500,整租,彩虹城板块 现代印象标准的大两房自住豪装 推出 随时看房 急,
余杭,88㎡,2室1厅,朝南,2400,整租,金帝海珀雅苑 2室1厅1卫,
江干,68㎡,1室1厅,朝东南,5800,整租,钱江新城 东方君悦 开发商统一精装 一室一厅 价格面议,
西湖,118㎡,3室2厅,朝南北,6000,整租,西溪蝶园 大面积 拎包可入住 近阿里巴巴 未来科技城 西溪首座,
滨江,45㎡,1室1厅,朝南北,2000,整租,交通便利,
萧山,68㎡,1室1厅,朝南,2300,整租,建设一路与通惠路交叉口 单身公寓出租,
萧山,6868㎡,1室1厅,朝南,2300,整租,柏丽轩 精装1房1厅 家电齐全 有阳台 生活配套齐全 随时看,
上城,156㎡,3室2厅,朝南北,12000,整租,金色家园豪装3方 全屋地暖 欧式装修房东都一次出租急急,
上城,131㎡,3室2厅,朝东南,8500,整租,"金色家园,新出三居室,干净清爽,价格也不高,本周急租",
滨江,130㎡,3室2厅,朝南,5000,整租,"诚租,寰宇天下钱江新城,一个好到没话说的好房子,大小都有",
高新西区,70㎡,2室2厅,朝南北,1800,整租,郫都区 天河路2号线 采光好 户型方正 中间楼层 家电家具齐全,
余杭,51㎡,1室1厅,朝南,2100,整租,阿里可步行可骑单车 精美铭座 八方城 富力天贸,
余杭,51㎡,1室1厅,朝南,2100,整租,阿里可步行可骑单车 精美铭座 八方城 富力天贸,
余杭,86㎡,3室2厅,朝南北,4300,整租,"阿里巴巴淘宝城,毗邻西溪湿地,大华西溪风情,精装修,",
余杭,85㎡,2室2厅,朝南,4300,整租,阿里巴巴 海创园毗邻西溪湿地合景叠彩园精装两房全新家具,
西湖,"165㎡
            ",3室2厅,朝南,14000,整租,"房东自住型装修,真实照片,实地拍摄,干净清爽,随时来电看房!",
西湖,"89㎡
            ",3室2厅,朝南,5000,整租,河滨之城 水澜轩 精装交房 对外诚心出租 看房方便,
余杭,50㎡,2室1厅,朝南北,4200,整租,"现实太残酷,找套房子不容易,好房横空出世,八方城",
西湖,"198㎡
            ",4室2厅,朝南北,20000,整租,西溪诚园 房东自住配置带双车位 新风系统 直饮水 好房不多,
临安,134㎡,3室2厅,朝南,2300,整租,只要你诚心租 房东好说话 价钱可谈2300元,
滨江,89㎡,2室2厅,朝南北,3600,整租,"浦沿 中控旁,贺田自住两室 朝南带阳台家具齐全, 看房有钥匙",
滨江,203㎡,4室2厅,朝南北,6500,整租,"滨江 浦沿 逸天广场精装4室,家具家电齐全,房东诚心出租,",
滨江,49㎡,1室1厅,朝南北,2600,整租,风尚蓝湾逸天广场天鸿君邑杭二中滨江精装物美中医药宝龙城,
滨江,137㎡,3室2厅,朝南北,4700,整租,天鸿逸天精装三房户型好交通方便杭二中海创有钥匙随时入住,
萧山,90㎡,2室1厅,朝南北,2500,整租,新出房源 戈雅公寓精装修两房一厅 只有2500 相信您的眼光,
萧山,46㎡,1室1厅,朝南北,1800,整租,摩卡商务馆 公寓 精装一房 繁华地段 生活便利 随时看房,
余杭,89㎡,2室2厅,朝南北,3800,整租,促销阿里海创园逸境悦居叠彩园旁 精装好房出租,
临安,122㎡,3室2厅,朝南,2400,整租,"、客厅和厨房之间是您和家人享受美味的餐厅,让您热情的招待亲朋",
滨江,48㎡,1室1厅,朝南北,1900,整租,精装修 低价出租 随时看房 电话15715712562,
江干,80㎡,1室1厅,朝南,9000,整租,房东出国急租 家具齐全 含车位一个 看房方便,
余杭,89㎡,2室1厅,朝南,2000,整租,临平新城山语苑 2室1厅1卫,
西湖,89㎡,3室2厅,朝南北,4500,整租,南北通透 户型方正 拎包可入住 随时看房 成熟配套 西溪谷 首座旁,
江干,25㎡,4室2厅,朝南,1400,整租,单间首租 刚刚空出 红苹果 新装修 包物业宽带,
滨江,134㎡,3室2厅,朝南北,5500,整租,彩虹城板块 仁苑小区南北通透大三房自住豪装 推出 随时看房,
余杭,62㎡,2室1厅,朝南北,2000,整租,"简装修,两房朝南,出行交通方便,随时看房。",
余杭,128㎡,3室2厅,朝南,2800,整租,"楼层好,户型好,采光好,,机会难得。",
余杭,45㎡,1室1厅,朝南,1500,整租,"麻雀非小,五脏俱全,精装小户型,电梯房,。",
余杭,93㎡,2室2厅,朝南北,2800,整租,"精装2房,自住出租,。",
余杭,70㎡,2室1厅,朝南,2200,整租,"两房朝南,,机会难得。",
西湖,"150㎡
            ",3室2厅,朝南,4000,整租,学生毕业季 城西银泰紫金港边圣苑小区大三房合租神房,
西湖,96㎡,2室2厅,朝南,2800,整租,"城北商贸园,位于浙江大学,南北通透,可短租可月付",
余杭,113㎡,3室2厅,朝南北,2800,整租,"精装,交通便利",
上城,131㎡,3室2厅,朝南,8500,整租,金色家园三房8500出租 房东自住房 诚心出租 可长租,
滨江,50㎡,2室1厅,朝南,4500,整租,滨河口中赢康康谷精装两房东方郡寰宇天下,
滨江,90㎡,4室1厅,朝南北,5500,整租,绿地旭辉城4室1厅1卫,
上城,154㎡,4室2厅,朝南,8000,整租,促销四桥江景房 春江花月 金色家园 豪华装修,
萧山,65㎡,2室2厅,朝南,3500,整租,钱江世纪城口水天城利二花苑利一家园嘉润公馆旁丽晶国际2房,
金牛,90㎡,2室2厅,朝南北,3000,整租,"出租!同心路,八宝街,同仁路,西月城街电梯套2",
郫都区,40㎡,1室1厅,朝南,1500,整租,离2号线仅300m!蓝光公yu!家具家电齐全!随时看房!随时入住!,
高新区,89㎡,2室2厅,朝南,3600,整租,南城都汇 精装 采光好 一号线 市一医院 配套全齐,
武侯,70㎡,2室2厅,朝南,3600,整租,首航欣程地中海风格装修 精装套二 可 随时看,
高新区,"256㎡
            ",3室2厅,朝南,28000,整租,银泰华悦府 豪装大三居 2.8万急租 湖泊公园环绕 金融城,
锦江,218㎡,4室2厅,朝南,15000,整租,豪华装修 空调 市 东大街 时代豪庭 仁恒滨河湾,
天府新区,88㎡,2室2厅,朝南,2500,整租,好房!广都口棕榈南岸精装套二房东诚心出租,
青羊,79㎡,2室2厅,朝南,2400,整租,"对中庭双阳台,入组",
天府新区,82㎡,3室2厅,朝南,2500,整租,天府新区品质楼盘 金棕榈全新精装全配套三双卫 房东诚租随时看房,
成华,65㎡,2室2厅,朝南,2800,整租,华润二十四城二期 开发商精装 家具家电齐全 方便你的交通娱乐,
武侯,122㎡,3室2厅,朝南,4600,整租,鹭岛精装三房出租 看房直接电话 方便 带家家具齐全,
滨江,43㎡,1室1厅,朝南,1800,整租,精装修 低价出租 家电齐全 电话 15715712562,
临安,100㎡,3室2厅,朝南北,2200,整租,三室两厅一卫 家电齐全 随时看房,
余杭,80㎡,3室1厅,朝南,2200,整租,荷花塘小区 3室1厅1卫,
西湖,89㎡,3室2厅,朝东南,4200,整租,两个大卧室带一书房 拎包可入住 随时看房 近西溪湿地 西溪里璞园,
江干,65㎡,1室1厅,朝北,6500,整租,"君悦一线江景低价单身公寓,高层俯视钱江新城,卫生间带大浴缸!",
拱墅,40㎡,1户合租,朝南,2400,合租主卧,吉兴公寓独立卫生间一室急出租随时可以看得东西全配随时可以看,
江干,160㎡,3室2厅,朝南北,8500,整租,"钱江新城金基晓庐,水岸帝景,新城国际,万象城悦府三房出租。",
余杭,89㎡,2室2厅,朝南北,2700,整租,"2室2厅2700元出租,你值得拥有",
西湖,185㎡,4室2厅,朝南北,15000,整租,西溪诚园精装房出租 领包入住 带车位 楼层好 银泰,
滨江,169㎡,4室2厅,朝南北,5500,整租,彩虹城板块 仁苑小区南北通透大四房自住豪装 推出 一线江景,
滨江,242㎡,4室2厅,朝南北,19000,整租,滨江区豪宅 彩虹豪庭南北通透大四房开发商豪装 一线江景 随时看,
滨江,30㎡,1室1厅,朝南,1600,整租,彩虹城板块 仁苑小区朝南带阳台 独立厨卫 随时看房 急,
昌平,67㎡,1室1厅,朝西南,6000,整租,金域华府二期 精装修一居室 看房方便,
江干,135㎡,3室2厅,朝南北,8000,整租,钱江新城 欧式简装大方 采光好 金基晓庐盛世钱塘悦玺悦府,
江干,80㎡,1室1厅,朝南,8000,整租,"江边一线酒店公寓,装修好,家具家电齐全,可直接入住",
拱墅,66㎡,2室1厅,朝南北,4300,整租,吉兴公寓都景公寓精装修2室一厅东西全配随时可以看得,
滨江,48㎡,1室1厅,朝南,1900,整租,精装休 低价出租 随时看房 电话15715712562,
西湖,89㎡,3室2厅,朝南,5200,整租,中楼层 房型正气 前无遮挡 沿河 近阿里巴巴 西溪首座 海创园,
临安,83㎡,2室2厅,朝南北,1800,整租,小户型 小人口家庭 2房出租 可随时看房,
西湖,158㎡,3室2厅,朝南北,9000,整租,西溪诚园诚心出租 高楼层带车位 位置好 装修保养好 几乎全新,
余杭,110㎡,3室2厅,朝南北,3500,整租,中山花苑 3室2厅1卫,
西湖,"196㎡
            ",4室2厅,朝南,20000,整租,城西 西溪诚园 知敬苑 品质小区 诚心出租 喜欢的联系我看房,
余杭,138㎡,3室2厅,朝南,5000,整租,精装修 边套 看房方便,
高新区,89㎡,2室1厅,朝南,8000,整租,天鹅湖旁世纪城奢华大套二带空调地暖全新视觉、棕榈泉费尔蒙,
高新区,212㎡,2室2厅,朝南,31800,整租,银泰华悦府豪装短租长租价可谈无中介费,
锦江,53㎡,1室2厅,朝南北,1800,整租,东二环 Q城 住家套一出租 家电齐全 交通便捷 温馨舒适,
高新西区,119㎡,3室2厅,朝南,3800,整租,中海国际蓝岸套三 环境舒适 交通方便 家具家电齐全,
高新区,63㎡,2室1厅,朝南北,2300,整租,广都口蒂梵尼小区精装套二出租,
成华,76㎡,2室2厅,朝南,2200,整租,"华宇阳光水岸,房屋干净清爽,户型佳,为您呈现家的感觉",
青羊,92㎡,2室2厅,朝南,2500,整租,租92平中大君悦金沙一期 这里是您选择,
高新区,56㎡,1室1厅,朝西,2300,整租,世纪城口绿地之窗 蜀都 无国界 精装舒适大套一 随时看房,
高新区,135㎡,3室2厅,朝南,6000,整租,交子大道199号中海九号公馆 精装套三 直,
高新区,56㎡,1室1厅,朝南,2300,整租,世纪城口绿地之窗 无国界 金控时代 采光好大套一 温馨舒适急,
金牛,89㎡,3室2厅,朝南,2200,整租,蜀汉路沃尔玛电子科大外国语远洋好房带诚意出租套三,
滨江,81㎡,2室1厅,朝南,3500,整租,彩虹城板块 现代印象标准的大两房自住豪装 推出 随时看房 急,
滨江,98㎡,2室2厅,朝南北,4300,整租,彩虹城板块 通策广场全南大两房自住豪装 推出 随时看房 急租,
滨江,30㎡,1室1厅,朝南,1600,整租,彩虹城板块 六合天寓单间朝南落地窗 推出 随时看房,
滨江,134㎡,3室2厅,朝南北,5500,整租,彩虹城板块 仁苑小区南北通透大三房自住豪装 推出 随时看房,
昌平,116㎡,3室1厅,朝南北,9000,整租,金域华府二期 万科精装南北通透三居室 给您舒适体验,
昌平,66㎡,1室1厅,朝西南,5800,整租,万科直营 金域华府二期 精装一居室 看房随时,
昌平,116㎡,3室2厅,朝南北,8500,整租,万科直营 金域华府二期 万科精装修 带小院40平米,
昌平,153㎡,3室2厅,朝南北,11000,整租,万科直营 眼镜房三居 金域华府,
昌平,153㎡,3室2厅,朝南北,11000,整租,万科直营 金域华府二期钥匙房 仅有的153平米大三居,
昌平,89㎡,2室1厅,朝南,7000,整租,万科直营 金域华府三期 全南两居室 看房有钥匙,
西湖,"89㎡
            ",2室2厅,朝南北,5500,整租,"坤和西溪里,两室两厅,成熟小区,家具家电齐全,。",
萧山,65㎡,1室1厅,朝南,3500,整租,中栋国际65平方精装修单身公寓 家电齐全 随时看房,
滨江,64㎡,3室2厅,朝南北,4500,整租,江陵站旭辉城春江彼岸海康威视吉利龙湖天街星光大道,
滨江,52㎡,2室1厅,朝东南,3000,整租,精装修 随时看房 电话 15715712562,
拱墅,66㎡,2室1厅,朝南北,4100,整租,吉兴公寓三宝郡庭都景公寓北大桥旁精装修2室出租随时可以看,
西湖,89㎡,3室2厅,朝南,6000,整租,精装修 带地暖 空调 冬暖夏凉 家具齐全 西溪蝶园 华府西溪里,
江干,90㎡,1室1厅,朝西南,8000,整租,钱江新城 东方君悦 七酒店式公寓 欧式豪华装修,
西湖,200㎡,4室2厅,朝南,15000,整租,西溪诚园四房诚心出租 装修保养好 带车位 中间楼层 位置好,
拱墅,65㎡,2室1厅,朝南,3800,整租,促销三宝郡庭 清爽一房 物美莫干山路 押一付一,
余杭,125㎡,3室1厅,朝南,2500,整租,新城花苑 3房 自住装修,
临安,123㎡,3室2厅,朝南,2000,整租,三房 干净整洁 温馨如家,
西湖,89㎡,3室2厅,朝南北,6000,整租,万科物业 精装修 干净清爽 装修精美 好房子难得 近西溪首座,
余杭,85㎡,2室1厅,朝南,2500,整租,金都夏宫公寓 2室1厅1卫,
滨江,56㎡,2室1厅,朝南北,2100,整租,精装修低 价出租,
江干,102㎡,2室2厅,朝东南,9800,整租,钱江新城万象城悦玺 悦府好房型 精装修 市民 钱江路,
西湖,96㎡,2室2厅,朝南,2800,整租,"城北商贸园,位于浙江大学,南北通透,可短租可月付",
西湖,50㎡,1室1厅,朝南,2000,整租,"浙江大学旁边,剑桥公社酒店式单身公寓,干净清爽,,好",
高新区,56㎡,1室1厅,朝南,2300,整租,世纪城口大有智慧 无国界 绿地之窗 民宿装修舒适大套一 急,
高新区,45㎡,1室1厅,朝南,2000,整租,高新区 环球世纪城 天府一街 智地哥谭 汇锦城 精装标间 通气-,
高新区,120㎡,3室2厅,朝南,4000,整租,天府二街 高新伊藤 汇锦城 华润凤凰城 中海兰庭 雅颂居 精装套三,
锦江,82㎡,4室1厅,朝南,3000,整租,华韵天府 拎.包.入.住 可.办.公 可.住.家,
锦江,125㎡,3室2厅,朝南,7000,整租,仁恒滨河湾环境优美干净舒适,
海淀,70㎡,2室1厅,朝南北,4800,整租,五棵松——金沟河——南北两居——精装全齐————随时,
昌平,153㎡,3室2厅,朝南北,11000,整租,万科直营 出租 金域华府 看房随时有钥匙,
昌平,90㎡,2室1厅,朝南北,6800,整租,融泽嘉园 两居改三居6800/月 家具家电齐全,
昌平,33㎡,2户合租,朝南,3400,合租主卧,金域华府 厅隔石墙跟业主签合同 四家合住,
朝阳,800㎡,9室3厅,朝南,153000,整租,现代城座写字楼800平15.3万 免租25天 可以,
朝阳,406㎡,6室4厅,朝南,58000,整租,北四环亚运存420平米 平层室 好利用 看房随时!,
朝阳,280㎡,3室1厅,朝东,35000,整租,现代城280平写字楼3.5万免租期25天,
朝阳,135㎡,1室1厅,朝北,25000,整租,银泰 北向一居2.5万月租金钥匙房观国贸全景 御金台 新城国际,
萧山,62㎡,2室1厅,朝南,3000,整租,"钱江世纪城,直达,精装酒店式公寓,拎包办公,随时看房",
萧山,45㎡,1室1厅,朝南北,3800,整租,嘉润公馆高楼层采光好精装修有飘窗家具家电齐全整租,
滨江,89㎡,3室2厅,朝南北,4800,整租,钱塘山水逸天广场钱江湾花园贺田精装三房家电家具齐全天鸿君邑,
江干,75㎡,1室1厅,朝南北,2600,整租,精装修酒店式公寓 原筑壹号,
滨江,40㎡,1室1厅,朝南北,1700,整租,"星期天有钥匙 精装一居室,家电齐全,看房方便,楼层高,采光好",
江干,82㎡,2室1厅,朝南北,2500,整租,跃层 楼下楼上都朝南 房东诚心出租 不赚差价,
江干,75㎡,1室2厅,朝南,2400,整租,促销 清爽好房出租 精装修好房 可看房,
江干,74㎡,1室1厅,朝南,2500,整租,原筑壹号 精装修 跃层 整套出租 国庆大 促销价,
江干,75㎡,1室2厅,朝南,2300,整租,促销 清爽好房出租 精装修好房 可看房,
高新区,115㎡,3室2厅,朝南北,3500,整租,高新世纪城 天府一街 两江国际 航天城上城 精装套三 近公园,
海淀,80㎡,3室1厅,朝南北,7500,整租,一号线万寿路翠微朱各庄12号院精装3居室,
丰台,55㎡,1室1厅,朝南北,2500,整租,"鑫湖家园一居,配套齐全,,看房随时,欢迎来电!!!",
海淀,109㎡,3室2厅,朝东南,12000,整租,西直门 小西天 积水潭 今典花园 大三居均可,
丰台,100㎡,3室1厅,朝南,6500,整租,顶秀欣苑 精装小三居 宋家庄枢纽旁 包取暖 可同事合租做宿舍 急,
海淀,110㎡,3室1厅,朝南,12000,整租,西直门明光桥 招租 全家电 随时入住,
丰台,160㎡,3室4厅,朝南,20000,整租,刘家窑 嘉业大厦旁 筑梦园小区精装三居 复试随时看房入住,
朝阳,24㎡,2室1厅,朝南,2000,整租,两家合住 出租 卫生间 干湿分离 环境好 装修好 干净 随时看,
燕郊,81㎡,2室1厅,朝西北,1600,整租,"青年新城精装两居,进京方便。周边配套完善。交通发达。",
房山,115㎡,3室2厅,朝南北,4500,整租,长阳大宁山庄花园洋房 阳光南北通透 三室两厅一卫 大宁水库南侧,
朝阳,55㎡,1室1厅,朝南,4300,整租,出租 东三环 十里河 周庄嘉园小区精装修一居室随时看房,
朝阳,26㎡,3室1厅,朝南,2500,整租,美景东方精装修独立卫生间 房子干净整洁 温馨舒适看房随时,
丰台,50㎡,1室1厅,朝南,3600,整租,丰台 科技园 总部基地 9号线 大葆台站欣葆家园一居招租,
丰台,36㎡,1室1厅,朝南,3900,整租,中海御鑫阁精装婚房 家电家具全齐 精装修,
丰台,87㎡,2室1厅,朝南,8000,整租,21 万科西华府、成熟小区、家具家电齐全、看房提前联系,
